id,domain,website,name,tier,status,founded_date,description,has_details,sf_account_owner,sf_last_activity_date,salesforce_link,details.last_funding_amount,details.last_funding_type,details.total_money_in_usd,details.last_funding_date,details.investors,has_cb_data,cb_data.url,cb_data.categories,has_employee_data,employee_data.num_employees,employee_data.delta_num_employees_percent,employee_data.last_updated,employee_data.positive,visited,last_visited
66001,chenbro.com,http://www.chenbro.com/,Chenbro Micom,Pass,Public Company,Jun 01 1983,"Founded in 1983, Chenbro Micom; is a 23-year-old veteran in casing manufacturing in Taiwan . Company provides comprehensive product lines (PC chassis, Pedestal server/workstation chassis, Rackmount chassis and storage kits) and innovative mechanical solutions in the 3C industry. Aside from casing manufacturing, which Chenbro does best, company also offers excellent thermal, EMI, and acoustic solutions that differentiate Chenbro from its competitors. Last but not least, R&D effort without the shadow of a doubt is the key driver for Chenbro.",TRUE,Kwan Hong Lee,No activity,https://na6.salesforce.com/0013000000HqGqwAAF,Undisclosed,Unknown,Undisclosed,Unknown,,FALSE,,,FALSE,,,,FALSE,FALSE,
3160,commvault.com,http://www.commvault.com/,Commvault,Pass,Public Company,May 30,"Enterprise backup and recovery, data management, data deduplication, data protection, archiving, eDiscovery software. Official Commvault Twitter channel.",TRUE,Kwan Hong Lee,No activity,https://na6.salesforce.com/0013000000G6H9ZAAV,Undisclosed,Unknown,Undisclosed,Unknown,,TRUE,https://www.crunchbase.com/organization/commvault,Software,TRUE,2315,115650,2016-10-01,TRUE,FALSE,
59595,promise.com,http://promise.com/,Promise Technology,Pass,Public Company,Jun 01 1988,"PROMISE Technology is a leading developer of high-performance storage solutions tailor-made for the data center, surveillance, cloud, and rich media markets.  PROMISE specializes in providing the latest in scalable SAN storage, Thunderbolt enabled storage, NAS storage, and personal and enterprise cloud storage solutions for clients in different verticals.",TRUE,Kwan Hong Lee,No activity,https://na6.salesforce.com/0013000000Hn6fUAAR,Undisclosed,Unknown,Undisclosed,Unknown,,TRUE,https://www.crunchbase.com/organization/promise-technology,"Small and Medium Businesses, Hardware",TRUE,450,4.651162791,2016-10-01,TRUE,FALSE,
2443448,cdw.com,http://cdw.com/,CDW,Pass,Pass,May 31 1984,"The information technology products, expertise and service you need to make your business successful. Fast shipping, fast answers, the industry's largest in-stock inventories, custom configurations and more.",TRUE,Brian Carthas,No activity,https://na6.salesforce.com/0018000000rOJhDAAW,$58.74M,Post Ipo Equity,$58.74M,2015-08-14,,TRUE,https://www.crunchbase.com/organization/cdw-corporation,"Hardware, Service Industry, Information Technology, Software",TRUE,7258,0.805555556,2016-10-01,TRUE,FALSE,
62087,extremenetworks.com,http://www.extremenetworks.com/,Enterasys Networks,Pass,Pass,Jun 01 2000,"Enterasys provides intelligent, best-in-class infrastructure solutions to enterprise customers. With one of the industry?s broadest product portfolios?plus a full range of service and support offerings?Enterasys is uniquely qualified to meet the evolving needs of today?s businesses.",TRUE,Kwan Hong Lee,No activity,https://na6.salesforce.com/0013000000HoLlxAAF,Undisclosed,Unknown,Undisclosed,Unknown,,TRUE,https://www.crunchbase.com/organization/enterasys-networks,,TRUE,1300,64900,2016-10-01,TRUE,FALSE,
63131,supermicro.com,http://supermicro.com/,Super Micro Computer,Pass,No Status,Jun 01 1993,"Super Micro Computer, Inc. or Supermicro® (NASDAQ: SMCI), a global leader in high-performance, high-efficiency server technology and innovation is a premier provider of green computing solutions for Enterprise IT, Data Center, Cloud Computing, HPC and Embedded Systems worldwide. Supermicro's advanced server Building Block Solutions® offers a vast array of modular, interoperable components for building energy-efficient, application-optimized, computing solutions. This broad line of products includes servers, blades, GPU systems, workstations, motherboards, chassis, power supplies, storage technologies, networking solutions and SuperRack® cabinets/accessories. Architecture innovations include Twin and FatTwin™ Architecture, SuperServer®, SuperBlade®, MicroCloud, Super Storage Bridge Bay (SBB), Double-Sided Storage™, Universal I/O (UIO) and WIO expansion technology all of which deliver unrivaled performance and value.Supermicro combines 19+ years of advanced engineering experience with efficient production and integration expertise to develop first-to-market green computing solutions. The company is committed to protecting the environment through its ""We Keep IT Green®"" initiative. From motherboards and power supplies designed with the latest high-efficiency components to intelligent power management and cooling subsystems for high operating temperature (47°C) free-air cooled environments, Supermicro offers the most energy-efficient, environmentally-friendly solutions available on the market.Founded in 1993 and headquartered in San Jose, California, Supermicro employs approximately 1,300 people worldwide. The company has been profitable every year since inception and has annual sales reaching $1 billion. Products are sold through major distribution channels including VARs, SIs and OEMs worldwide, as well as through its direct sales force. Operations centers are located in Silicon Valley, the Netherlands, and its new Science & Technology Park and advanced integration facility in Taiwan.For more information, visit www.supermicro.comFollow UsTwitter: http://bit.ly/NJdknxLinkedIn: http://linkd.in/QGZkYdGoogle+: http://bit.ly/OnPU39YouTube: http://bit.ly/OnJunb",TRUE,Kwan Hong Lee,No activity,https://na6.salesforce.com/0013000000HoebvAAB,Undisclosed,Unknown,Undisclosed,Unknown,,TRUE,https://www.crunchbase.com/organization/super-micro-computer,"Cloud Infrastructure, Cloud Computing, Manufacturing, Embedded Systems",TRUE,1153,8.671065033,2016-10-01,TRUE,FALSE,
2436650,manageengine.com,http://manageengine.com/,ManageEngine,Pass,Acquired,Jun 01 1996,"ManageEngine offers enterprise IT management software, including network management, server, desktop and application management. Download free trial now!",TRUE,Kwan Hong Lee,2013-01-29,https://na6.salesforce.com/0013000000IHtxQAAT,Undisclosed,Unknown,Undisclosed,Unknown,,TRUE,https://www.crunchbase.com/organization/zoho-manageengine,"Customer Service, Enterprise Software",TRUE,660,1275,2016-10-01,TRUE,FALSE,
10042406,netapp.com,http://www.netapp.com/,NetApp,Pass,Public Company,Jan 01 1992,"NetApp delivers software, systems and services to manage and store your data. NetApp Data Fabric provides enhanced data control, choice, and efficiency.",TRUE,Inactive User,No activity,,Undisclosed,Unknown,Undisclosed,Unknown,,TRUE,https://www.crunchbase.com/organization/netapp,"Cloud Computing, Software, Information Technology, Data Storage",TRUE,12124,2.071055733,2016-10-01,TRUE,FALSE,
246936,chinatelecomusa.com,http://www.chinatelecomusa.com/,China Telecom Americas,Pass,Acquired,Jun 01 2002,"China Telecom Americas, a wholly-owned US-based subsidiary of China Telecom Corp. Ltd. (NYSE: CHA). Headquartered in Herndon, VA, China Telecom Americas is the largest international subsidiary of China Telecom Corporation Limited.",TRUE,Kwan Hong Lee,2016-09-28,https://na6.salesforce.com/0018000000NhzkjAAB,Undisclosed,Unknown,Undisclosed,Unknown,,FALSE,,,TRUE,150,4.166666667,2016-10-01,TRUE,FALSE,
10033490,solarwinds.com,http://www.solarwinds.com/,SolarWinds,Pass,Not a Company,Jun 01 1999,acquired,TRUE,Matt Biehler,2016-09-28,https://na6.salesforce.com/0013000000GimNNAAZ,$10.00M,Post Ipo Equity,$217.50M,2010-02-05,"Series B:$8.0M, ;Series B:$7.2M, ;Post Ipo Equity:$10.0M, ;Private Equity:$7.5M, Austin Ventures; Insight Venture Partners; Bain Capital Ventures;Private Equity:$200.0M, Insight Venture Partners; Bain Capital Ventures;",TRUE,https://www.crunchbase.com/organization/solarwinds,"Software, Virtualization, Management Information Systems",TRUE,1470,3.085553997,2016-10-01,TRUE,FALSE,
72747,rackspace.com,http://www.rackspace.com/,Rackspace,Pass,Public Company,May 31 1998,"Public; (NYSE:RAX)Host on our dedicated or cloud infrastructure or through one of our partners. Leverage our expertise to run fast and lean. We offer web, app or email hosting, data services and managed security solutions.",TRUE,Inactive User,2007-08-21,https://na6.salesforce.com/0013000000HqQxGAAV,$11.50M,Venture,$17.80M,2000-03-01,"Venture:$11.5M, Norwest Venture Partners - NVP; Red Hat; Sequoia Capital;Venture:$6.3M, Teton Capital Advisers; Isom Capital;",TRUE,https://www.crunchbase.com/organization/rackspace,"Cloud Computing, Software, IaaS, Information Technology, Web Hosting",TRUE,5807,4.611781661,2016-10-01,TRUE,FALSE,
10057151,samsung.com,http://www.samsung.com,Samsung,Pass,Pass,Feb 11 1969,"Samsung Electronics is a South Korean multinational electronics company engaged in consumer electronics, information technology and mobile communications, and device solutions businesses worldwide.The company develops, manufactures, and sells various consumer products, including mobile phones, tablets, televisions, Blu-ray players, DVD players, home theater systems, digital cameras, and camcorders; home appliances such as refrigerators, air conditioners, washing machines, ovens, and dishwashers; PCs, peripherals, and printers comprising tablet PCs, notebooks, monitors, optical disc drives, printers, and computers; memory and storage products such as solid state drives and memory cards; and accessories.The company also provides healthcare and medical equipment comprising ultrasound, digital X-ray, and in-vitro diagnostics; telecommunications infrastructures, including wireless and enterprise network systems; standalone mobile APs for smartphones, CMOS image sensors for mobile cameras, and display driver and smart card ICs; LCD display panels and OLED panels for mobiles; and LED lighting solutions that include LED packages, LED display modules, LED light engines, and LED retrofit lamps. In addition, it is engaged in cyber game match hosting; technology business venture capital investments; the manufacture of semiconductor components; semiconductor equipment businesses; the sponsoring of sports teams and games; and credit management activities.Samsung Electronics also provides repair services for electronic devices as well as general logistics agency, consultation, and communication system services. It has operations in Korea, China, Latin and North America, Europe, the Asia Pacific, and Africa.Samsung Electronics was founded in 1969 as a subsidiary of Samsung Group and is headquartered in Suwon, South Korea.",TRUE,Inactive User,No activity,,Undisclosed,Unknown,Undisclosed,Unknown,,TRUE,https://www.crunchbase.com/organization/samsung-electronics,"Hardware, Electronics, Software, Medical Device",TRUE,116408,25.00053691,2016-10-01,TRUE,FALSE,
29521,spirent.com,http://www.spirent.com/,Spirent Communications,Pass,Public Company,May 15 1936,"Those who build or deliver networks, connected devices and communication services depend on Spirent’s expertise to enable their innovations and ensure superior user experience.",TRUE,Inactive User,2016-09-21,https://na6.salesforce.com/0013000000Gyc3jAAB,$7.00M,Unknown,$27.00M,2009-07-09,,TRUE,https://www.crunchbase.com/organization/spirent,"Network Security, Public Relations, Wireless, Mobile, Internet, Location Based Services, VoIP",TRUE,1700,291.7050691,2016-10-01,TRUE,FALSE,
10005615,intel.com,http://www.intel.com/,Intel,Pass,Public Company,Jul 18 1968,"Public company on Nasdaq, Ticker INTC",TRUE,Inactive User,2016-02-23,https://na6.salesforce.com/0013000000FH7XzAAL,$3.00M,Seed,$3.00M,1968-07-31,"; Arthur Rock & Co; Seed:$3.0M, Max Palevsky; Max Palevsky; Arthur Rock & Co; Max Palevsky",TRUE,https://www.crunchbase.com/organization/intel,"Semiconductor, Hardware, Manufacturing, Software",TRUE,108515,5425650,2016-10-01,TRUE,FALSE,
10005683,ca.com,http://www.ca.com/,CA,Pass,Public Company,Jun 01 1998,"COMPUTER ASSOCIATES ISRAEL LTD. is a division of Computer Associates International, Inc. (NYSE: CA), the world's leading business software company, that delivers the end-to-end infrastructure to enable eBusiness thro ugh innovative technology, services and education. CA has 20,000 employees worldwide and had revenue of over $6 billion for the fiscal year ended March 31, 2000.",TRUE,Kwan Hong Lee,2015-11-05,https://na6.salesforce.com/0013000000JNRGpAAP,$38.70M,Other,$38.70M,2009-02-02,"; Other:$38.7M,",FALSE,,,TRUE,4,33.33333333,2016-10-01,TRUE,FALSE,
10038826,qlogic.com,http://www.qlogic.com/,QLogic,Pass,Public Company,Jun 01 1994,QLogic is a leading provider of data center networking and storage networking infrastructure solutions. Visit our website to learn more.,TRUE,Inactive User,No activity,,Undisclosed,Unknown,Undisclosed,Unknown,,TRUE,https://www.crunchbase.com/organization/qlogic,Web Hosting,TRUE,997,49750,2016-10-01,TRUE,FALSE,
